Feature.name	Estimate	Std.Error	z.value	p.value	comparaison	padj	Condition	xrn4	xrn4_dne1	delta_prop	diff	Change	Degradation_Tag
AT1G01930.1	0.548812498459143	0.144624125421887	3.79475068117567	0.000147791892685767	xrn4_dne1 - xrn4	0.0203839125835062	Seedling	0.265507145941929	0.368372988799818	0.10286584285789	significant	increase	5'_truncated
AT1G01940.1	-0.265168829564478	0.0592381828697135	-4.47631606370644	7.59420355755935e-06	xrn4_dne1 - xrn4	0.0019452009969577	Seedling	0.139711778605581	0.109904417684948	0.029807360920633	significant	decrease	5'_truncated
AT1G06180.1	-0.635926988674357	0.177245372899516	-3.58783407584285	0.000333436360963946	xrn4_dne1 - xrn4	0.0373657122005222	Seedling	0.409613395650865	0.281149406149406	0.128463989501459	significant	decrease	5'_truncated
AT1G10120.1	0.183298420165226	0.0327242245524609	5.60130675889284	2.12741864125121e-08	xrn4_dne1 - xrn4	1.0632264816568e-05	Seedling	0.198575033522677	0.228941266101023	0.0303662325783452	significant	increase	5'_truncated
AT1G13090.1	-0.330426301196219	0.057456193669601	-5.75092570691889	8.87561135698434e-09	xrn4_dne1 - xrn4	5.96773918615234e-06	Seedling	0.566802551121047	0.486055674702464	0.0807468764185831	significant	decrease	5'_truncated
AT1G13980.2	0.41633807868241	0.107555137270564	3.8709269426627	0.000108422285197918	xrn4_dne1 - xrn4	0.0159781773172493	Seedling	0.610442905408482	0.69927532212015	0.0888324167116677	significant	increase	5'_truncated
AT1G14210.1	-1.27710013311211	0.355422080815371	-3.5931930007903	0.000326650455013677	xrn4_dne1 - xrn4	0.0369905852109173	Seedling	0.117471988795518	0.0403117715617716	0.0771602172337467	significant	decrease	5'_truncated
AT1G17060.1	0.861663570782778	0.231913927075854	3.71544556054603	0.000202845936359441	xrn4_dne1 - xrn4	0.025374611434359	Seedling	0.114422266825255	0.229029830322934	0.114607563497679	significant	increase	5'_truncated
AT1G22050.1	0.631740929080251	0.151740890333625	4.16328734918632	3.13698178477928e-05	xrn4_dne1 - xrn4	0.00661718628248147	Seedling	0.0491840208751549	0.0878321025379849	0.03864808166283	significant	increase	5'_truncated
AT1G24440.1	-0.465425232823316	0.115183517947637	-4.04072771101593	5.32855976311808e-05	xrn4_dne1 - xrn4	0.010114547957753	Seedling	0.0929799987342675	0.0598240155643519	0.0331559831699157	significant	decrease	5'_truncated
